1007291739-735d12 | http://is5.auto.ru/all/images/71/f8/60x45/71f8ccc1.jpg |  Kia Rio II Рестайлинг1.6 MT (112 л.с.)  | #000000 | 375 000 |  2011  |  76 500 км  |  1.6 MT (112 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007291869-1dcb72 | http://is15.auto.ru/all/images/60/f1/60x45/60f111e6.jpg |  Kia Rio I1.5 MT (98 л.с.)  | #ffefd5 | 165 000 |  2003  |  11 652 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007291223-58f30d | http://is2.auto.ru/all/images/86/63/60x45/86638158.jpg |  Kia Rio I1.6 AT (105 л.с.)  | #9c9999 | 180 000 |  2005  |  78 900 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007291305-fdfc | http://is14.auto.ru/all/images/05/19/60x45/051939c8.jpg |  Kia Rio I1.5 AT (98 л.с.)  | #CACECB | 180 000 |  2003  |  89 900 км  |  1.5 AT (98 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007290973-d6de | http://is9.auto.ru/all/images/b1/ef/60x45/b1ef3df0.jpg |  Kia Rio II Рестайлинг1.4 MT (97 л.с.)  | #9c9999 | 375 000 |  2010  |  68 100 км  |  1.4 MT (97 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007290859-dd11e | http://is14.auto.ru/all/images/6d/7a/60x45/6d7ab55e.jpg |  Kia Rio II Рестайлинг1.4 AT (97 л.с.)  | #000000 | 370 000 |  2010  |  68 000 км  |  1.4 AT (97 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007290919-e429 | http://is16.auto.ru/all/images/88/f6/60x45/88f6a1c6.jpg |  Kia Rio II Рестайлинг1.6 AT (112 л.с.)  | #0000FF | 375 000 |  2010  |  69 000 км  |  1.6 AT (112 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007290813-d0d1 | http://is14.auto.ru/all/images/6f/a4/60x45/6fa47745.jpg |  Kia Rio II Рестайлинг1.6 AT (112 л.с.)  | #926547 | 390 000 |  2011  |  52 230 км  |  1.6 AT (112 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007290777-0c1d06 | http://is16.auto.ru/all/images/61/84/60x45/6184c636.jpg |  Kia Rio I1.5 MT (97 л.с.)  | #CACECB | 190 000 |  2004  |  97 999 км  |  1.5 MT (97 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007290713-b66145 | http://is12.auto.ru/all/images/1e/4c/60x45/1e4cd5cc.jpg |  Kia Rio III1.6 AT (123 л.с.) 4-speed  | #000000 | 535 000 |  2012  |  51 100 км  |  1.6 AT (123 л.с.) 4-speedседан, бензин, передний  | Москва | 23.01.15
