1007265137-386fb | http://is7.auto.ru/all/images/41/12/60x45/4112a13a.jpg |  Skoda Fabia II1.2 MT (70 л.с.)  | #9c9999 | 359 000 |  2009  |  67 000 км  |  1.2 MT (70 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1007265995-34f52 | http://is2.auto.ru/all/images/ab/4c/60x45/ab4c90ac.jpg |  Skoda Fabia I Рестайлинг1.4 MT (75 л.с.)  | #ffefd5 | 260 000 |  2007  |  80 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007002981-2ebe1 | /i/all7/img/no-photo-thumb.gif |  Skoda Fabia II1.6 AT (105 л.с.)  | #0088ff | 445 000 |  2008  |  86 500 км  |  1.6 AT (105 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1007264003-06c07e | http://is6.auto.ru/all/images/a5/2d/60x45/a52ddae2.jpg |  Skoda Fabia II Рестайлинг1.4 MT (86 л.с.)  | #FFFFFF | 465 000 |  2013  |  69 295 км  |  1.4 MT (86 л.с.)хэтчбек, бензин, передний  | Калуга | 23.01.15
1006762623-e61a | http://is3.auto.ru/all/images/5f/b8/60x45/5fb8dfc6.jpg |  Skoda Fabia I1.4 MT (68 л.с.)  | #CACECB | 252 150 |  2001  |  137 641 км  |  1.4 MT (68 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007263981-a82fe | http://is14.auto.ru/all/images/53/e3/60x45/53e33d3f.jpg |  Skoda Fabia II1.6 AT (105 л.с.)  | #ffefd5 | 425 000 |  2008  |  50 000 км  |  1.6 AT (105 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1005989425-8f01 | http://is13.auto.ru/all/images/8a/0b/60x45/8a0b9106.jpg |  Skoda Fabia II1.6 MT (105 л.с.)  | #9c9999 | 326 975 |  2007  |  97 364 км  |  1.6 MT (105 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1005341215-8d683 | http://is14.auto.ru/all/images/d3/34/60x45/d334349b.jpg |  Skoda Fabia II Рестайлинг1.2 MT (70 л.с.)  | #fde910 | 399 000 |  2011  |  63 716 км  |  1.2 MT (70 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007263457-ea94d | http://is16.auto.ru/all/images/53/18/60x45/5318e6ae.jpg |  Skoda Fabia II1.2 MT (70 л.с.)  | #9c9999 | 289 000 |  2008  |  97 520 км  |  1.2 MT (70 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1006886935-50be | http://is2.auto.ru/all/images/48/d8/60x45/48d84e90.jpg |  Skoda Fabia II1.6 AT (105 л.с.)  | #0000FF | 510 000 |  2009  |  45 737 км  |  1.6 AT (105 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007262569-c65409 | http://is1.auto.ru/all/images/a3/af/60x45/a3af4c87.jpg |  Skoda Fabia II Рестайлинг1.2 MT (70 л.с.)  | #FFFFFF | 383 000 |  2011  |  75 000 км  |  1.2 MT (70 л.с.)хэтчбек, бензин, передний  | Набережные Челны | 23.01.15
1007263093-4cc0d6 | http://is9.auto.ru/all/images/ba/85/60x45/ba85129b.jpg |  Skoda Fabia II Рестайлинг1.2 MT (70 л.с.)  | #CACECB | 387 000 |  2010  |  60 100 км  |  1.2 MT (70 л.с.)хэтчбек, бензин, передний  | Уфа | 23.01.15
