1005443563-1c3994 | http://is16.auto.ru/all/images/b3/70/60x45/b370d9cc.jpg |  Kia Sorento II2.4 AT (175 л.с.) 4WD  | #FF0000 | 899 000 |  2010  |  88 000 км  |  2.4 AT (175 л.с.) 4WDвнедорожник, бензин, полный  | Рязань | 23.01.15
1007254813-6e87c8 | http://is14.auto.ru/all/images/c3/d9/60x45/c3d914af.jpg |  Kia Sorento II2.4 AT (175 л.с.) 4WD  | #000000 | 1 020 000 |  2012  |  75 000 км  |  2.4 AT (175 л.с.) 4WDвнедорожник, бензин, полный  | Воронеж | 22.01.15
1006924393-7101c | http://is11.auto.ru/all/images/05/cb/60x45/05cb3885.jpg |  Kia Sorento I Рестайлинг2.5d AT (170 л.с.) 4WD  | #000000 | 760 000 |  2009  |  86 000 км  |  2.5d AT (170 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 22.01.15
1007254015-b3a583 | http://is6.auto.ru/all/images/25/d6/60x45/25d6d3fd.jpg |  Kia Sorento II2.4 AT (175 л.с.) 4WD  | #0000FF | 1 150 000 |  2010  |  62 200 км  |  2.4 AT (175 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 22.01.15
35645262-f949e | http://is11.auto.ru/all/images/9c/59/60x45/9c59f0b1.jpg |  Kia Sorento I Рестайлинг3.3 AT (248 л.с.) 4WD  | #000000 | 558 000 |  2007  |  167 000 км  |  3.3 AT (248 л.с.) 4WDвнедорожник, бензин, полный  | Киров | 22.01.15
1007252079-455f5 | http://is1.auto.ru/all/images/8a/8e/60x45/8a8e4f70.jpg |  Kia Sorento II Рестайлинг2.4 AT (175 л.с.) 4WD  | #9c9999 | 1 650 000 |  2014  |  15 000 км  |  2.4 AT (175 л.с.) 4WDвнедорожник, бензин, полный  | Новочеркасск | 22.01.15
1007251915-fee48b | http://is1.auto.ru/all/images/91/93/60x45/91936b16.jpg |  Kia Sorento I3.5 AT (195 л.с.) 4WD  | #000000 | 580 000 |  2005  |  203 000 км  |  3.5 AT (195 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 22.01.15
1006267875-1716 | http://is18.auto.ru/all/images/44/46/60x45/4446e202.jpg |  Kia Sorento I Рестайлинг2.5d AT (170 л.с.) 4WD  | #CACECB | 655 000 |  2007  |  115 000 км  |  2.5d AT (170 л.с.) 4WDвнедорожник, дизель, полный  | Тула | 22.01.15
1007251711-9005c2 | http://is2.auto.ru/all/images/ec/15/60x45/ec15fb9e.jpg |  Kia Sorento II2.4 AT (175 л.с.) 4WD  | #926547 | 1 120 000 |  2011  |  147 000 км  |  2.4 AT (175 л.с.) 4WDвнедорожник, бензин, полный  | Минводы | 22.01.15
1007251311-7c94 | http://is1.auto.ru/all/images/bd/10/60x45/bd102b5e.jpg |  Kia Sorento I2.5d MT (140 л.с.) 4WD  | #9c9999 | 480 000 |  2005  |  210 000 км  |  2.5d MT (140 л.с.) 4WDвнедорожник, дизель, полный  | Ногинск | 22.01.15
1007250939-4fb44 | /i/all7/img/no-photo-thumb.gif |  Kia Sorento II Рестайлинг2.4 AT (175 л.с.)  | #CACECB | 1 250 000 |  2013  |  40 320 км  |  2.4 AT (175 л.с.)внедорожник, бензин, передний  | Москва | 22.01.15
1006981961-4c9ff | http://is15.auto.ru/all/images/9a/37/60x45/9a37c20e.jpg |  Kia Sorento II Рестайлинг2.4 MT (175 л.с.) 4WD  | #FFFFFF | 1 320 000 |  2013  |  29 000 км  |  2.4 MT (175 л.с.) 4WDвнедорожник, бензин, полный  | Санкт-Петербург | 22.01.15
1007250519-52381 | http://is9.auto.ru/all/images/07/33/60x45/0733924d.jpg |  Kia Sorento II Рестайлинг2.2d AT (197 л.с.) 4WD  | #CACECB | 1 365 000 |  2013  |  56 000 км  |  2.2d AT (197 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 22.01.15
1007189619-bef3de | http://is3.auto.ru/all/images/3d/20/60x45/3d205511.jpg |  Kia Sorento II2.4 AT (175 л.с.) 4WD  | #926547 | 1 060 000 |  2010  |  84 000 км  |  2.4 AT (175 л.с.) 4WDвнедорожник, бензин, полный  | Санкт-Петербург | 22.01.15
