1005642511-e4d1 | http://is6.auto.ru/all/images/7d/32/60x45/7d3228d7.jpg |  Ford Focus III1.6 AT (125 л.с.)  | #FFFFFF | 580 000 |  2012  |  20 000 км  |  1.6 AT (125 л.с.)хэтчбек, бензин, передний  | Тольятти | 24.12.14
1005642997-22de | http://is14.auto.ru/all/images/25/79/60x45/25796bee.jpg |  Ford Focus II Рестайлинг1.8 MT (125 л.с.)  | #9c9999 | 494 000 |  2010  |  77 000 км  |  1.8 MT (125 л.с.)хэтчбек, бензин, передний  | Клинцы | 24.12.14
1005643577-4dc38 | http://is1.auto.ru/all/images/1d/90/60x45/1d9045ae.jpg |  Ford Focus I Рестайлинг1.8 MT (115 л.с.)  | #0088ff | 170 000 |  2004  |  120 000 км  |  1.8 MT (115 л.с.)седан, бензин, передний  | Городец | 24.12.14
1005644117-6ea7 | /i/all7/img/no-photo-thumb.gif |  Ford Focus II1.6 MT (100 л.с.)  | #CACECB | 300 000 |  2006  |  140 000 км  |  1.6 MT (100 л.с.)седан, бензин, передний  | Златоуст | 24.12.14
1005644215-97b11 | http://is13.auto.ru/all/images/e0/b9/60x45/e0b92768.jpg |  Ford Focus II1.8 MT (125 л.с.)  | #000000 | 362 000 |  2007  |  100 000 км  |  1.8 MT (125 л.с.)седан, бензин, передний  | Барнаул | 24.12.14
49855002-c43c | http://is11.auto.ru/all/images/bc/85/60x45/bc856edd.jpg |  Ford Focus II Рестайлинг1.8 MT (125 л.с.)  | #CACECB | 450 000 |  2008  |  69 000 км  |  1.8 MT (125 л.с.)седан, бензин, передний  | Азов | 24.12.14
1005646097-729f98 | http://is5.auto.ru/all/images/de/9f/60x45/de9f6d4e.jpg |  Ford Focus II Рестайлинг1.6 MT (100 л.с.)  | #0000FF | 520 000 |  2011  |  93 км  |  1.6 MT (100 л.с.)хэтчбек, бензин, передний  | Москва | 24.12.14
1005646957-87232 | http://is12.auto.ru/all/images/c4/47/60x45/c4475888.jpg |  Ford Focus II1.6 MT (115 л.с.)  | #0000FF | 320 000 |  2007  |  85 000 км  |  1.6 MT (115 л.с.)универсал, бензин, передний  | Нижний Новгород | 24.12.14
1005648253-87d9c9 | http://is8.auto.ru/all/images/5d/7d/60x45/5d7d8d78.jpg |  Ford Focus III1.6 MT (105 л.с.)  | #34ba2b | 515 000 |  2011  |  70 000 км  |  1.6 MT (105 л.с.)хэтчбек, бензин, передний  | Калуга | 24.12.14
1005648271-8985f9 | http://is12.auto.ru/all/images/a9/81/60x45/a9818a15.jpg |  Ford Focus II1.8 MT (125 л.с.)  | #9c9999 | 380 000 |  2007  |  70 000 км  |  1.8 MT (125 л.с.)хэтчбек, бензин, передний  | Пенза | 24.12.14
